theta,h,qv,time,deltheta,delqv,LCL,q_flux_0,T_flux_0,thick,entflux_theta,went,entflux_qv,radcool
292.99909107433075,468.28122551029395,0.01411157461843504,1.701388888888889,1.8105962787309977,-0.01011157461843504,89.57464333454368,3.139195699614808e-05,0.028006362479684754,378.70658217575027,-0.005601272495936951,0.003093606543730856,3.128123340701347e-05,30.0
293.0038387319691,468.73181839634634,0.014111716603661648,1.7083333333333333,1.808552178409002,-0.010111716603661648,90.23868062777609,3.139096309956182e-05,0.02797312887621632,378.49313776857025,-0.005594625775243264,0.003093427904394167,3.1279866303092755e-05,30.0
293.00853110868684,469.18094341302947,0.014111859165866035,1.7152777777777777,1.8065545517913506,-0.010111859165866035,90.89457076167378,3.1389965164131106e-05,0.027940282239192128,378.2863726513557,-0.005588056447838426,0.0030932121270832364,3.12781253992146e-05,30.0
293.013168914707,469.6285828946594,0.014112002770228461,1.7222222222222223,1.804602582660948,-0.010112002770228461,91.54234324968655,3.1388959933594126e-05,0.027907817597050837,378.08623964497286,-0.005581563519410168,0.003092959953088376,3.127601961383535e-05,30.0
293.0177528502846,470.07471965534205,0.014112147865656727,1.7291666666666667,1.8026954676474816,-0.010112147865656727,92.18202876137127,3.1387944265596266e-05,0.02787573004800794,377.8926908939708,-0.005575146009601588,0.0030926721177577244,3.127355775475984e-05,30.0
293.0222836058461,470.51933698122656,0.014112294885218327,1.736111111111111,1.8008324160412599,-0.010112294885218327,92.81365907258703,3.138691512866507e-05,0.02784401475907731,377.70567790863953,-0.005568802951815463,0.0030923493503394782,3.127074851874612e-05,30.0
293.0267618621272,470.9624186224526,0.014112444246573123,1.7430555555555556,1.799012649607505,-0.010112444246573123,93.43726701556392,3.1385869599181494e-05,0.027812666965109485,377.5251516068887,-0.005562533393021898,0.0030919923738365537,3.1267600491251434e-05,30.0
293.0311882903081,471.4039487847923,0.014112596352406566,1.75,1.7972354024007018,-0.010112596352406565,94.05288642820295,3.13848048583474e-05,0.02778168196784344,377.35106235658935,-0.005556336393568688,0.0030916019048738267,3.126412214632025e-05,30.0
293.0355635526034,471.8439123979695,0.01411275158336626,1.7569444444444444,1.795499921784426,-0.01011275158336626,94.66055338194508,3.1383718241629536e-05,0.027751055131776354,377.18335901602444,-0.0055502110263552715,0.003091178651146524,3.1260321798849987e-05,30.0
293.0398883021602,472.2822949658614,0.01411291030230811,1.763888888888889,1.793805467634968,-0.01011291030230811,95.26030547984305,3.1382607209036584e-05,0.02772078188487865,377.02198948601836,-0.00554415637697573,0.003090723312537,3.1256207628939277e-05,30.0
293.0441631826316,472.7190822214391,0.014113072863819937,1.7708333333333333,1.7921513106970224,-0.010113072863819936,95.85218025553388,3.13814692784538e-05,0.027690857721578654,376.86690196590524,-0.005538171544315731,0.003090236583964424,3.125178774007423e-05,30.0
293.0483888286871,473.1542603502826,0.014113239608347544,1.7777777777777777,1.7905367334145694,-0.010113239608347544,96.43621619675287,3.138030206676055e-05,0.027661278199190235,376.7180441535297,-0.005532255639838047,0.0030897191532552287,3.1247070119370814e-05,30.0
293.0525658661409,473.5878159835367,0.014113410862553697,1.7847222222222223,1.7889610297602871,-0.010113410862553697,97.012452706457,3.137910328731748e-05,0.027632038937013534,376.5753632770797,-0.005526407787402707,0.0030891717010421526,3.1242062637613185e-05,30.0
293.05669491207755,474.0197361906411,0.014113586939675444,1.7916666666666667,1.787423505066272,-0.010113586939675444,97.58093006300044,3.137787074746525e-05,0.027603135615457176,376.43880612764065,-0.005520627123091436,0.003088594900673385,3.123677304939852e-05,30.0
293.0607765749754,474.4500084718566,0.014113768139879246,1.798611111111111,1.785923475855725,-0.010113768139879246,98.14168938139716,3.1376602346038633e-05,0.027574563975172054,376.30831909045946,-0.005514912795034411,0.0030879894181311106,3.123120899337868e-05,30.0
293.0648114548286,474.8786207505884,0.014113954750613835,1.8055555555555556,1.7844602696749234,-0.010113954750613835,98.69477257348365,3.1375296070896515e-05,0.0275463198161998,376.1838481771048,-0.00550926396323996,0.0030873559119607564,3.1225377992611204e-05,30.0
293.06880014326543,475.30556136550547,0.01411414704696088,1.8125,1.7830332249275784,-0.01011414704696088,99.24022230931797,3.137394999646719e-05,0.02751839899714196,376.0653390561875,-0.0055036797994283924,0.003086695033207772,3.12192874549872e-05,30.0
293.072743223666,475.7308190624567,0.01411434529198339,1.8194444444444444,1.7816416907087387,-0.01011434529198339,99.77808197770628,3.137256228130963e-05,0.027490797434337935,375.9527370847504,-0.005498159486867587,0.003086007425365318,3.1212944673769486e-05,30.0
293.0766412712768,476.15438298618375,0.014114549737071902,1.826388888888889,1.7802850266402857,-0.010114549737071902,100.30839564725511,3.137113116569004e-05,0.027463511101062408,375.84598733892864,-0.005492702220212482,0.0030852937243303043,3.1206356828214667e-05,30.0
293.08049485332333,476.5762426718302,0.014114760622288447,1.8333333333333333,1.7789626027076793,-0.010114760622288447,100.83120802764682,3.136965496917423e-05,0.02743653602673669,375.74503464418336,-0.005487307205347338,0.003084554558367531,3.119953098427623e-05,30.0
293.0843045292275,476.9963880844299,0.014114978175817666,1.8402777777777777,1.7776737992790572,-0.010114978175817666,101.34656458961331,3.1368132094469696e-05,0.027409868295407536,375.6498234948166,-0.0054819736590815075,0.0030837905476835763,3.119247408861218e-05,30.0
293.0880708514421,477.4148099371632,0.014115202608259308,1.8472222222222223,1.7764180081808263,-0.010115202608259308,101.85451260817331,3.1366561067378204e-05,0.02738350403990512,375.5602973289899,-0.005476700807981024,0.003083002301687732,3.1185192923301195e-05,30.0
293.09179436433465,477.8314991316788,0.01411543412314218,1.8541666666666667,1.7751946304554167,-0.01011543412314218,102.35509930282944,3.1364940463198095e-05,0.02735743944965748,375.47639982884937,-0.005471487889931496,0.0030821904235524954,3.117769418442496e-05,30.0
293.0954756045951,478.24644688571414,0.014115672914728292,1.861111111111111,1.7740030767191683,-0.010115672914728292,102.84837225171941,3.136326892209531e-05,0.02733167076783434,375.3980746339947,-0.005466334153566868,0.0030813555090762734,3.1169984463811665e-05,30.0
293.09911510149345,478.65964479386264,0.01411591916704672,1.8680555555555556,1.772842767269708,-0.01011591916704672,103.33437958529998,3.136154515586632e-05,0.02730619428954583,375.32526520856266,-0.005461238857909167,0.0030804981461045335,3.116207024023074e-05,30.0
293.1027133769853,479.07108482049824,0.01411617305417545,1.875,1.771713131937645,-0.01011617305417545,103.81316995658665,3.135976794596521e-05,0.027281006361102755,375.2579148639116,-0.005456201272220552,0.003079618914521079,3.115395788020719e-05,30.0
293.10627094581486,479.48075929259005,0.014116434740519261,1.8819444444444444,1.7706136099407104,-0.010116434740519261,104.28479251125538,3.135793614155853e-05,0.027256103379296008,375.1959667813347,-0.005451220675859202,0.003078718386244494,3.1145653638879195e-05,30.0
293.10978831561636,479.8886608924081,0.014116704381083641,1.888888888888889,1.7695436497380683,-0.010116704381083641,104.74929685844074,3.1356048657607866e-05,0.02723148179068551,375.13936403396735,-0.005446296358137102,0.003077797125232415,3.1137163660925405e-05,30.0
293.11326598701345,480.2947826501192,0.014116982121744724,1.8958333333333333,1.7685027088872403,-0.010116982121744724,105.20673304224317,3.135410447298029e-05,0.027207138090905858,375.08804960787603,-0.005441427618181172,0.003076855687489997,3.112849398152487e-05,30.0
293.11670445371647,480.69911793627364,0.014117268099515268,1.9027777777777777,1.767490253901201,-0.010117268099515268,105.65715151266488,3.135210262858648e-05,0.02718306882398474,375.04196642360876,-0.005436613764796948,0.0030758946210861786,3.1119650527385796e-05,30.0
293.120104202618,481.1016604541824,0.014117562442806665,1.9097222222222223,1.7665057601071226,-0.010117562442806665,106.10060309792857,3.1350042225546705e-05,0.027159270581674038,375.00105735625385,-0.005431854116334808,0.003074914466174973,3.111063911781481e-05,30.0
293.1234657138859,481.50240423218474,0.014117865271686972,1.9166666666666667,1.765548711507222,-0.010117865271686972,106.53713897636976,3.134792242338455e-05,0.027135740002798857,374.965265255815,-0.0054271480005597715,0.003073915755021394,3.11014654658224e-05,30.0
293.12678946105484,481.9013436158067,0.014118176698134987,1.923611111111111,1.7646186006400058,-0.010118176698134987,106.9668106490397,3.1345742438248445e-05,0.027112473772616115,374.934532966767,-0.005422494754523223,0.003072899012033847,3.1092135179282894e-05,30.0
293.1300759116221,482.2984734210734,0.014118496824797624,1.9305555555555556,1.763714928904335,-0.010118496824797624,107.38967022672483,3.134350155160999e-05,0.0270894686186453,374.9088031943486,-0.00541789372372906,0.0030718647525962684,3.108265374535308e-05,30.0
293.1333255271222,482.6937889225154,0.014118825745272467,1.9375,1.7628372064128826,-0.010118825745272467,107.80577039533341,3.134119910828609e-05,0.02706672131014443,374.888018527182,-0.005413344262028886,0.003070813483137365,3.1073026532100185e-05,30.0
293.13653876219877,483.0872855219284,0.014119163547340371,1.9444444444444444,1.7619849509327992,-0.010119163547340371,108.21516376059463,3.1338834493810754e-05,0.027044228664608625,374.87212176133374,-0.005408845732921726,0.0030697457035931378,3.10632588234044e-05,30.0
293.13971606527645,483.4789589277601,0.014119510311466571,1.951388888888889,1.7611576882900977,-0.010119510311466571,108.61790318713958,3.133640714492736e-05,0.027021987543064882,374.86105574062054,-0.005404397508612976,0.00306866190605572,3.105335580073552e-05,30.0
293.14285787865526,483.8688051506404,0.014119866110998606,1.9583333333333333,1.7603549522485764,-0.010119866110998606,109.01404178092235,3.133391654820311e-05,0.026999994849413157,374.85476336971806,-0.005399998969882632,0.003067562574800601,3.104332254409223e-05,30.0
293.14596463859624,484.2568204969717,0.014120231012377265,1.9652777777777777,1.7595762843856164,-0.010120231012377265,109.40363286757986,3.1331362238552504e-05,0.02697824752982632,374.85318762939187,-0.005395649505965264,0.003066448186330972,3.103316403315472e-05,30.0
293.1490367754057,484.6430015624831,0.01412060507534285,1.9722222222222223,1.7588212339691722,-0.01012060507534285,109.78672997173362,3.132874379779341e-05,0.026956742572160068,374.8562715907495,-0.005391348514432014,0.0030653192094259826,3.102288514846253e-05,30.0
293.152074713518,485.02734522574855,0.014120988353136809,1.9791666666666667,1.758089357836468,-0.010120988353136809,110.16338679679478,3.13260608532357e-05,0.026935477005373968,374.86395842895377,-0.005387095401074794,0.0030641761051919663,3.1012490672608e-05,30.0
293.155078871576,485.4098486416688,0.014121380892698722,1.986111111111111,1.7573802202740012,-0.010121380892698722,110.53365720517974,3.132331307630231e-05,0.026914447898968036,374.8761914364891,-0.005382889579793607,0.003063019327117689,3.100198529145587e-05,30.0
293.15804966251017,485.79050923491747,0.014121782734858625,1.9930555555555556,1.7566933928993649,-0.010121782734858625,110.89759519887536,3.132050018118298e-05,0.026893652362428837,374.8929140360421,-0.0053787304724857675,0.0030618493211318734,3.0991373595371194e-05,30.0
293.16098749361595,486.1693246933505,0.01412219391452471,2.0,1.7560284545441505,-0.01012219391452471,111.25525490075603,3.131762192352039e-05,0.02687308754468836,374.9140697925945,-0.005374617508937672,0.0030606665256645146,3.098066008047084e-05,30.0
293.163892766629,486.54629296137995,0.014122614460866352,2.006944444444444,1.7553849911392945,-0.010122614460866352,111.60669053617767,3.131467809912889e-05,0.02685275063359717,374.9396024252023,-0.005370550126719434,0.0030594713717096303,3.096984914987452e-05,30.0
293.1667658778731,486.92141224892833,0.014123044397502066,2.013888888888889,1.754762595620491,-0.010123044397502065,111.95195642454507,3.13116685426789e-05,0.026832638854888274,374.96945582438326,-0.005366527770977655,0.0030582642827989104,3.095894511406818e-05,30.0
293.16960721918736,487.2946812052163,0.014123483742783612,2.0208333333333335,1.7541608680439253,-0.010123483742783611,112.29110706740215,3.130859312570807e-05,0.026812749465688512,375.00357413781416,-0.005362549893137703,0.0030570456739908423,3.0947952181593264e-05,30.0
293.1724171767349,487.66609864579436,0.014123932509802295,2.0277777777777777,1.7535794151398818,-0.010123932509802295,112.62419697567765,3.1305451756577296e-05,0.026793079762855825,375.0419016701167,-0.005358615952571165,0.0030558159535327986,3.09368744759432e-05,30.0
293.17519613124824,488.0356635831713,0.014124390706576275,2.0347222222222223,1.7530178502507852,-0.010124390706576275,112.95128067547466,3.1302244379159425e-05,0.026773627081262304,375.08438290769664,-0.005354725416252461,0.003054575522711545,3.092571603467614e-05,30.0
293.1779444583304,488.40337526940976,0.014124858336240591,2.0416666666666665,1.7524757932860666,-0.010124858336240591,113.272412721048,3.1298970971509214e-05,0.026754388791687293,375.13096254836177,-0.005350877758337459,0.0030533247756330093,3.0914480807817804e-05,30.0
