,pres,hght,temp,dwpt,relh,mixr,drct,sknt,thta,thte,thtv
0,992.0,172.0,35.2,19.2,39.0,14.26189844233965,180.0,6.0,309.1,352.9,311.7
1,975.0,329.0,32.2,20.2,49.0,15.469714585334312,191.0,8.0,307.6,354.8,310.4
2,945.1,610.0,29.6,18.8,52.0,14.608322515743245,210.0,11.0,307.7,352.2,310.4
3,925.0,803.0,27.8,17.8,55.0,14.004272985752731,215.0,11.0,307.7,350.5,310.3
4,913.4,914.0,26.8,17.4,56.0,13.824667696702972,215.0,10.0,307.8,350.0,310.4
5,882.2,1219.0,24.0,16.2,62.0,13.25142208130352,230.0,9.0,308.0,348.6,310.4
6,850.0,1545.0,21.0,15.0,69.0,12.724733355104693,240.0,9.0,308.1,347.1,310.5
7,849.0,1555.0,20.8,14.8,69.0,12.573592352600382,241.0,9.0,308.0,346.5,310.4
8,822.4,1829.0,18.7,14.1,75.0,12.402478014925865,265.0,9.0,308.6,346.5,310.9
9,800.0,2067.0,16.8,13.4,80.0,12.178183195606028,292.0,11.0,309.0,346.4,311.3
10,793.7,2134.0,16.3,12.8,79.0,11.795771642631545,300.0,12.0,309.2,345.4,311.4
11,765.8,2438.0,14.3,9.8,75.0,9.992659209244563,325.0,11.0,310.2,341.1,312.1
12,752.0,2592.0,13.2,8.3,72.0,9.184956861082984,322.0,9.0,310.6,339.2,312.4
13,739.0,2739.0,11.8,8.2,79.0,9.284763117204207,320.0,7.0,310.7,339.6,312.4
14,738.6,2743.0,11.8,8.1,78.0,9.226029717515429,320.0,7.0,310.7,339.4,312.5
15,730.0,2841.0,12.0,6.0,67.0,8.068502694492746,316.0,7.0,312.0,337.3,313.5
16,700.0,3192.0,10.0,2.0,58.0,6.335694302913604,300.0,7.0,313.5,333.7,314.7
17,661.6,3658.0,8.0,-2.0,50.0,5.003862959617522,280.0,5.0,316.3,332.6,317.3
18,641.0,3920.0,6.8,-4.2,45.0,4.380015622074454,265.0,5.0,317.9,332.3,318.7
19,614.2,4267.0,3.9,-5.5,50.0,4.141964672060138,245.0,6.0,318.4,332.2,319.2
