,pres,hght,temp,dwpt,relh,mixr,drct,sknt,thta,thte,thtv
0,995.0,172.0,29.0,20.0,58.0,14.960224773968308,130.0,5.0,302.6,347.3,305.3
1,993.0,190.0,28.8,20.8,62.0,15.76989154495647,129.0,5.0,302.6,349.7,305.4
2,946.8,610.0,24.9,18.9,69.0,14.675074766318984,115.0,5.0,302.8,346.7,305.4
3,925.0,816.0,23.0,18.0,73.0,14.185802032672036,110.0,7.0,302.8,345.2,305.4
4,914.6,914.0,22.1,17.7,76.0,14.076098987129177,110.0,6.0,302.9,345.1,305.5
5,894.0,1113.0,20.4,17.2,82.0,13.949835723742897,84.0,7.0,303.1,344.8,305.6
6,883.0,1219.0,19.9,16.0,78.0,13.067655847867293,70.0,8.0,303.7,343.0,306.1
7,850.0,1548.0,18.4,12.4,68.0,10.710839852659493,55.0,9.0,305.4,337.9,307.4
8,837.0,1680.0,17.8,11.8,68.0,10.451476234034397,57.0,7.0,306.1,338.0,308.1
9,822.5,1829.0,16.5,10.5,68.0,9.74588908896716,60.0,4.0,306.3,336.1,308.1
10,810.0,1960.0,15.4,9.4,67.0,9.185191249811062,75.0,3.0,306.5,334.6,308.2
11,793.4,2134.0,13.8,9.2,74.0,9.252941066796382,95.0,1.0,306.6,334.9,308.3
12,765.3,2438.0,11.1,8.8,86.0,9.338467574059823,0.0,0.0,306.9,335.5,308.6
13,756.0,2541.0,10.2,8.7,90.0,9.390410480296868,55.0,2.0,306.9,335.7,308.7
14,737.8,2743.0,9.0,7.6,91.0,8.922526601365803,165.0,6.0,307.8,335.2,309.4
15,719.0,2958.0,7.8,6.4,91.0,8.425994236597306,170.0,7.0,308.7,334.8,310.3
16,700.0,3179.0,7.4,4.4,81.0,7.521458892408741,175.0,9.0,310.6,334.2,312.1
17,698.0,3203.0,7.4,4.4,81.0,7.543271714708534,175.0,9.0,310.9,334.5,312.3
18,660.1,3658.0,4.8,2.0,83.0,6.722797002882121,180.0,7.0,312.9,334.3,314.2
19,620.0,4170.0,1.8,-0.6,84.0,5.925759858255432,180.0,10.0,315.2,334.2,316.3
20,612.6,4267.0,1.6,-1.4,81.0,5.653924349483771,180.0,11.0,316.0,334.3,317.1
21,606.0,4355.0,1.4,-2.1,78.0,5.4264475345967265,189.0,10.0,316.8,334.4,317.8
22,589.8,4572.0,-0.3,-3.2,81.0,5.136277282581619,210.0,8.0,317.3,334.0,318.2
23,577.0,4748.0,-1.7,-4.1,84.0,4.90664483618769,190.0,10.0,317.6,333.7,318.6
24,568.0,4873.0,-1.7,-4.2,83.0,4.94741769374071,175.0,12.0,319.1,335.3,320.0
25,567.8,4877.0,-1.7,-4.3,83.0,4.911819179767526,175.0,12.0,319.1,335.3,320.1
26,557.0,5029.0,-2.1,-7.0,69.0,4.072072952605395,175.0,13.0,320.4,334.0,321.2
27,543.0,5231.0,-3.5,-6.4,80.0,4.375987616749674,175.0,15.0,321.1,335.6,321.9
28,515.0,5649.0,-5.7,-9.6,74.0,3.5950482758146154,175.0,20.0,323.3,335.5,324.0
29,505.7,5791.0,-6.6,-9.6,79.0,3.6615516689270544,175.0,21.0,323.8,336.3,324.6
30,503.0,5833.0,-6.9,-9.6,81.0,3.681322446589492,175.0,23.0,324.0,336.5,324.7
31,500.0,5880.0,-7.1,-9.9,80.0,3.6165719842985946,175.0,26.0,324.3,336.6,325.0
32,486.4,6096.0,-7.7,-13.1,65.0,2.875136323343452,175.0,24.0,326.1,336.1,326.7
33,483.0,6150.0,-7.9,-13.9,62.0,2.712268964686779,178.0,24.0,326.6,336.0,327.1
34,475.0,6280.0,-9.1,-17.1,52.0,2.1141584160228257,184.0,25.0,326.6,334.1,327.1
35,449.4,6706.0,-12.6,-21.5,47.0,1.5318202083598345,205.0,28.0,327.4,333.0,327.7
36,446.0,6765.0,-13.1,-22.1,47.0,1.4643612140507254,205.0,29.0,327.5,332.8,327.8
37,430.0,7043.0,-14.1,-23.1,46.0,1.390494172038036,205.0,34.0,329.7,334.8,330.0
38,425.0,7132.0,-14.3,-17.2,79.0,2.3439854386315875,205.0,36.0,330.5,338.9,331.0
39,418.0,7258.0,-15.3,-16.7,89.0,2.485821931435291,205.0,38.0,330.8,339.7,331.3
40,414.8,7315.0,-15.6,-17.0,89.0,2.4426705653074086,205.0,39.0,331.1,339.8,331.6
41,400.0,7590.0,-17.1,-18.7,87.0,2.1932173495929628,205.0,37.0,332.7,340.6,333.1
42,398.4,7620.0,-17.3,-18.9,87.0,2.1647143343313346,205.0,37.0,332.9,340.7,333.3
43,396.0,7665.0,-17.5,-19.2,87.0,2.1225983258749923,205.0,37.0,333.1,340.8,333.5
44,392.0,7741.0,-18.3,-20.7,81.0,1.883749420907547,205.0,37.0,333.0,339.9,333.4
45,385.0,7875.0,-20.1,-27.1,54.0,1.0820487229861657,206.0,38.0,332.4,336.4,332.6
46,378.0,8010.0,-20.7,-31.7,37.0,0.715187202016021,206.0,39.0,333.3,336.1,333.5
47,360.0,8369.0,-22.3,-36.3,27.0,0.4781634652006982,207.0,40.0,335.9,337.8,336.0
48,344.0,8701.0,-24.1,-37.1,29.0,0.4616936185355331,209.0,41.0,337.8,339.7,337.9
49,325.0,9111.0,-27.5,-43.5,20.0,0.25071133885874136,210.0,43.0,338.7,339.7,338.7
50,323.5,9144.0,-27.8,-43.6,21.0,0.24917708842529415,210.0,43.0,338.8,339.8,338.8
51,305.0,9563.0,-31.1,-45.1,24.0,0.2245907619194415,198.0,42.0,339.8,340.8,339.9
52,300.0,9680.0,-32.3,-42.3,36.0,0.3088166726972269,195.0,42.0,339.7,341.0,339.8
53,297.0,9751.0,-32.7,-41.7,40.0,0.3324264347310503,195.0,42.0,340.1,341.5,340.2
54,283.0,10089.0,-35.7,-49.7,22.0,0.1446423949794112,197.0,45.0,340.6,341.2,340.6
55,250.0,10940.0,-42.7,-55.7,23.0,0.0805465473924484,200.0,51.0,342.4,342.8,342.5
56,246.0,11049.0,-43.1,-55.1,25.0,0.08805318182833247,200.0,52.0,343.4,343.8,343.4
57,237.6,11278.0,-45.0,-56.7,26.0,0.07496713948059111,200.0,53.0,343.9,344.3,343.9
58,200.0,12410.0,-54.7,-64.7,28.0,0.031774785723074246,195.0,46.0,346.0,346.1,346.0
