,pres,hght,temp,dwpt,relh,mixr,drct,sknt,thta,thte,thtv
0,995.0,172.0,24.0,22.4,91.0,17.402342503490182,0.0,0.0,297.6,348.4,300.7
1,984.0,269.0,23.2,22.0,93.0,17.166749071491576,324.0,1.0,297.7,347.9,300.8
2,970.0,394.0,23.8,22.2,91.0,17.64133922366443,279.0,3.0,299.6,351.5,302.7
3,965.0,440.0,24.2,23.7,97.0,19.47602932317468,262.0,4.0,300.4,358.0,303.9
4,959.0,494.0,24.6,21.5,83.0,17.08154797160337,242.0,4.0,301.3,352.1,304.4
5,946.4,610.0,24.2,20.4,79.0,16.15279287979082,200.0,6.0,302.1,350.2,305.0
6,933.0,735.0,23.8,19.2,75.0,15.185795125997311,219.0,4.0,302.9,348.3,305.7
7,925.0,810.0,23.2,18.8,76.0,14.933378598360257,230.0,3.0,303.0,347.7,305.8
8,914.0,914.0,22.2,18.5,79.0,14.82946718639366,225.0,3.0,303.0,347.3,305.7
9,890.0,1146.0,20.0,17.7,87.0,14.474222518162588,236.0,5.0,303.1,346.4,305.7
10,882.5,1219.0,19.6,16.9,85.0,13.86357664325932,240.0,5.0,303.4,345.1,305.9
11,855.0,1492.0,18.2,14.1,77.0,11.92052535635697,215.0,5.0,304.7,340.7,306.9
12,850.0,1542.0,17.8,14.1,79.0,11.991998003301603,210.0,5.0,304.8,341.0,307.0
13,821.9,1829.0,15.4,15.1,98.0,13.255838186522336,250.0,6.0,305.2,345.2,307.7
14,819.0,1860.0,15.2,15.2,100.0,13.391466508141576,251.0,6.0,305.3,345.7,307.7
15,792.9,2134.0,13.4,13.4,100.0,12.289386961239536,260.0,2.0,306.2,343.6,308.5
16,784.0,2230.0,12.8,12.8,100.0,11.944516819723809,298.0,2.0,306.5,342.8,308.8
17,776.0,2316.0,13.0,12.2,95.0,11.595134940475297,332.0,2.0,307.6,343.1,309.8
18,764.9,2438.0,12.6,10.5,87.0,10.492172964166954,20.0,2.0,308.4,340.6,310.4
19,756.0,2536.0,12.2,9.1,81.0,9.651547496706483,28.0,4.0,309.1,338.9,310.9
20,737.5,2743.0,10.4,8.9,90.0,9.762733060498325,45.0,7.0,309.4,339.4,311.2
21,725.0,2886.0,9.2,8.7,97.0,9.798256569813933,45.0,7.0,309.5,339.8,311.4
22,702.0,3153.0,7.4,5.9,90.0,8.336045701797298,45.0,8.0,310.4,336.4,312.0
