,pres,hght,temp,dwpt,relh,mixr,drct,sknt,thta,thte,thtv
0,996.0,172.0,26.2,16.2,54.0,11.708852368441,0.0,0.0,299.7,334.4,301.8
1,991.0,216.0,28.4,18.4,55.0,13.564741192350036,350.0,2.0,302.3,342.9,304.8
2,987.0,252.0,29.0,19.0,55.0,14.153983261933496,342.0,4.0,303.3,345.7,305.9
3,947.8,610.0,26.8,17.4,56.0,13.3121684537929,260.0,20.0,304.5,344.6,307.0
4,925.0,825.0,25.4,16.4,57.0,12.791161907351167,250.0,21.0,305.3,344.0,307.6
5,915.7,914.0,24.7,16.4,60.0,12.923770275983042,250.0,21.0,305.4,344.5,307.8
6,912.0,949.0,24.4,16.4,61.0,12.97729616976936,249.0,21.0,305.5,344.8,307.9
7,899.0,1075.0,24.4,13.4,50.0,10.813777426940835,245.0,19.0,306.7,339.8,308.7
8,884.3,1219.0,23.3,12.7,51.0,10.49654107175,240.0,18.0,307.1,339.1,309.0
9,859.0,1472.0,21.4,11.4,53.0,9.909502746020083,236.0,17.0,307.6,338.1,309.5
10,850.0,1563.0,20.8,9.8,49.0,8.988493706819511,235.0,17.0,307.9,335.6,309.6
11,837.0,1696.0,20.4,7.4,43.0,7.743849920087447,233.0,16.0,308.9,332.9,310.3
12,824.1,1829.0,19.3,7.6,47.0,7.976175104038833,230.0,14.0,309.1,333.9,310.6
13,798.0,2106.0,17.0,8.0,55.0,8.47127169854309,216.0,12.0,309.5,335.8,311.1
14,795.4,2134.0,16.9,7.2,53.0,8.041940243374995,215.0,12.0,309.6,334.7,311.2
15,783.0,2267.0,16.4,3.4,42.0,6.255098750052102,191.0,10.0,310.5,330.3,311.7
16,767.3,2438.0,14.7,4.2,49.0,6.758055223940327,160.0,7.0,310.4,331.7,311.7
17,740.0,2743.0,11.6,5.7,67.0,7.792514793639188,175.0,8.0,310.3,334.6,311.8
18,723.0,2938.0,9.6,6.6,82.0,8.496496549475577,165.0,8.0,310.2,336.6,311.8
19,700.0,3206.0,7.4,5.7,89.0,8.243702977290862,150.0,7.0,310.6,336.4,312.2
20,668.0,3589.0,4.0,3.1,94.0,7.188814132263373,167.0,6.0,311.0,333.6,312.4
21,662.4,3658.0,3.8,2.3,90.0,6.845640401074047,170.0,6.0,311.6,333.1,312.9
22,642.0,3912.0,3.2,-0.7,76.0,5.678864257692149,99.0,4.0,313.6,331.9,314.7
23,625.0,4129.0,1.6,-2.6,74.0,5.067495683167927,39.0,1.0,314.2,330.6,315.2
24,616.0,4245.0,1.0,-1.9,81.0,5.4176296755218125,6.0,0.0,314.9,332.3,315.9
25,614.3,4267.0,0.9,-2.1,80.0,5.3524981724195175,0.0,0.0,315.0,332.3,316.0
26,599.0,4470.0,-0.1,-3.9,76.0,4.797036709734681,37.0,2.0,316.1,331.7,317.0
27,594.0,4537.0,-0.1,-5.1,69.0,4.41665630184486,49.0,3.0,316.9,331.4,317.7
28,589.0,4605.0,0.4,-9.6,47.0,3.141097442440985,61.0,3.0,318.2,328.8,318.8
29,586.0,4646.0,0.4,-11.6,40.0,2.6920746098881017,68.0,4.0,318.7,327.8,319.2
30,583.0,4687.0,0.0,-13.0,37.0,2.416479619613286,76.0,4.0,318.7,326.9,319.1
31,581.0,4714.0,-0.3,-9.3,51.0,3.2608985364126033,81.0,4.0,318.6,329.6,319.3
32,569.3,4877.0,-0.9,-9.9,51.0,3.174085767192318,110.0,6.0,319.8,330.5,320.4
33,569.0,4881.0,-0.9,-9.9,50.0,3.1757678191139167,110.0,6.0,319.8,330.6,320.5
34,561.0,4993.0,-1.9,-6.6,70.0,4.169812549809991,112.0,6.0,320.0,333.8,320.8
35,543.0,5252.0,-3.3,-10.3,58.0,3.224588682231841,117.0,7.0,321.3,332.2,321.9
36,538.0,5325.0,-3.7,-13.7,46.0,2.4740881599224096,119.0,7.0,321.7,330.2,322.1
37,527.0,5488.0,-4.3,-11.3,58.0,3.0679337223428926,122.0,7.0,322.8,333.3,323.4
38,522.0,5563.0,-4.5,-14.5,46.0,2.3881425008037924,123.0,7.0,323.5,331.8,323.9
39,503.0,5853.0,-6.5,-17.5,41.0,1.9298641933507172,129.0,8.0,324.5,331.3,324.9
40,500.0,5900.0,-6.7,-16.7,45.0,2.0767859557531896,130.0,8.0,324.8,332.1,325.2
41,487.6,6096.0,-8.2,-16.5,51.0,2.1658035302423237,120.0,7.0,325.3,332.9,325.8
42,485.0,6138.0,-8.5,-16.5,52.0,2.17745466860719,118.0,7.0,325.4,333.1,325.9
43,473.0,6332.0,-9.7,-17.7,52.0,2.0182344752573194,107.0,8.0,326.3,333.4,326.7
44,434.0,6994.0,-13.1,-30.1,23.0,0.7253996493748465,69.0,11.0,330.1,332.9,330.2
45,416.0,7315.0,-15.9,-34.9,18.0,0.4756747289855482,50.0,13.0,330.6,332.4,330.6
46,407.0,7480.0,-17.3,-37.3,16.0,0.3823678809656189,42.0,12.0,330.8,332.3,330.9
47,400.0,7610.0,-17.9,-38.9,14.0,0.33045502192238174,35.0,12.0,331.6,333.0,331.7
48,399.5,7620.0,-18.0,-39.0,14.0,0.3274820247809324,35.0,12.0,331.7,333.0,331.7
49,358.0,8428.0,-23.5,-50.5,6.0,0.10428073816534437,28.0,11.0,334.8,335.2,334.8
50,338.1,8839.0,-27.1,-53.5,6.0,0.07765163053780422,25.0,11.0,335.5,335.8,335.5
51,324.1,9144.0,-29.7,-55.8,6.0,0.06137528138091587,35.0,14.0,335.9,336.2,335.9
52,320.0,9236.0,-30.5,-56.5,6.0,0.05704973047691071,29.0,13.0,336.0,336.3,336.0
53,311.0,9437.0,-31.9,-49.9,15.0,0.12863221713810336,16.0,11.0,336.8,337.4,336.8
54,310.5,9449.0,-32.0,-50.0,15.0,0.12736777908501914,15.0,11.0,336.9,337.4,336.9
55,300.0,9690.0,-33.9,-52.9,13.0,0.0939821642927245,20.0,9.0,337.5,337.9,337.5
56,293.0,9855.0,-35.3,-54.3,13.0,0.08142277850562554,19.0,9.0,337.8,338.1,337.8
57,259.0,10702.0,-42.3,-55.3,23.0,0.0816273504520935,16.0,11.0,339.6,339.9,339.6
58,250.0,10940.0,-43.9,-56.9,22.0,0.0695107406266094,15.0,12.0,340.7,341.0,340.7
59,248.8,10973.0,-44.2,-57.2,22.0,0.06729989379929623,15.0,12.0,340.7,341.0,340.8
60,227.0,11585.0,-49.3,-62.3,20.0,0.038504682291826214,32.0,12.0,341.9,342.1,341.9
61,206.8,12192.0,-53.3,-64.8,23.0,0.03031885532050556,50.0,12.0,344.9,345.1,344.9
62,200.0,12410.0,-54.7,-65.7,24.0,0.02775243178515326,55.0,15.0,346.0,346.1,346.0
63,197.0,12506.0,-55.3,-66.3,24.0,0.02595839600296236,62.0,15.0,346.5,346.6,346.5
64,178.9,13106.0,-58.9,-69.5,24.0,0.01828913209422953,105.0,14.0,350.3,350.4,350.3
65,162.2,13716.0,-62.6,-72.8,24.0,0.012506541991385867,55.0,18.0,354.1,354.2,354.1
66,154.5,14021.0,-64.4,-74.4,24.0,0.010343827185427593,80.0,18.0,356.0,356.0,356.0
67,154.0,14040.0,-64.5,-74.5,24.0,0.010222338614431361,78.0,18.0,356.1,356.1,356.1
68,153.0,14079.0,-64.1,-74.1,24.0,0.010926684706568884,75.0,17.0,357.4,357.5,357.4
69,150.0,14200.0,-64.7,-74.7,24.0,0.01018307899092342,65.0,15.0,358.4,358.5,358.4
70,146.9,14326.0,-65.0,-75.0,24.0,0.009936632219725615,45.0,17.0,360.0,360.1,360.0
71,144.0,14449.0,-65.3,-75.3,24.0,0.009685428730274658,55.0,22.0,361.6,361.6,361.6
72,140.0,14621.0,-64.7,-74.7,24.0,0.010910454534604484,69.0,29.0,365.6,365.6,365.6
73,139.8,14630.0,-64.8,-74.8,24.0,0.010762215002755244,70.0,29.0,365.6,365.7,365.6
74,126.3,15240.0,-68.8,-78.2,25.0,0.007049737508685211,55.0,17.0,369.0,369.0,369.0
75,120.0,15550.0,-70.9,-79.9,25.0,0.005661453827463972,55.0,20.0,370.7,370.7,370.7
76,117.0,15700.0,-70.9,-79.9,25.0,0.005806620665397741,54.0,18.0,373.4,373.4,373.4
77,115.0,15803.0,-69.1,-78.1,26.0,0.007865269363356598,53.0,17.0,378.5,378.6,378.5
78,113.0,15908.0,-69.1,-78.1,26.0,0.008004479462135724,52.0,16.0,380.4,380.5,380.4
79,110.0,16070.0,-66.9,-75.9,27.0,0.011569605606433777,50.0,14.0,387.5,387.6,387.5
80,100.0,16640.0,-71.7,-80.7,25.0,0.005970110845257715,45.0,8.0,388.9,389.0,388.9
81,93.0,17069.0,-71.5,-80.5,25.0,0.0066310654936573106,90.0,27.0,397.5,397.5,397.5
82,88.3,17374.0,-71.3,-80.3,25.0,0.007213646576042284,100.0,18.0,403.7,403.8,403.7
83,86.9,17469.0,-71.3,-80.3,25.0,0.0073298631953496365,89.0,17.0,405.7,405.7,405.7
84,83.9,17678.0,-69.0,-78.3,25.0,0.010446573387639144,65.0,15.0,414.5,414.6,414.5
85,79.8,17983.0,-65.5,-75.5,24.0,0.016953444563112107,45.0,12.0,427.6,427.7,427.6
86,79.5,18003.0,-65.3,-75.3,24.0,0.017543639713706892,44.0,12.0,428.5,428.6,428.5
87,75.9,18288.0,-64.7,-74.7,24.0,0.020124983700093822,35.0,18.0,435.5,435.6,435.5
88,72.5,18566.0,-64.1,-74.1,24.0,0.023059522339456847,81.0,25.0,442.4,442.6,442.5
89,72.2,18593.0,-64.2,-74.2,24.0,0.02281053211410743,85.0,26.0,442.7,442.9,442.7
90,70.6,18728.0,-64.9,-74.9,24.0,0.020991407117606935,92.0,23.0,444.1,444.2,444.1
