,pres,hght,temp,dwpt,relh,mixr,drct,sknt,thta,thte,thtv
0,988.0,172.0,36.8,18.8,35.0,13.959777747524393,205.0,10.0,311.0,354.3,313.6
1,978.0,266.0,35.8,18.8,37.0,14.105752782420144,205.0,11.0,310.9,354.6,313.6
2,958.0,455.0,32.6,19.6,46.0,15.1618309220842,205.0,14.0,309.5,356.2,312.3
3,941.7,610.0,31.1,19.1,49.0,14.9463325161848,205.0,16.0,309.6,355.6,312.3
4,925.0,772.0,29.6,18.6,52.0,14.743219538043999,205.0,15.0,309.6,354.9,312.3
5,910.2,914.0,28.3,18.0,54.0,14.421813688182835,190.0,14.0,309.6,354.1,312.3
6,879.4,1219.0,25.4,16.8,59.0,13.8235440596203,200.0,17.0,309.7,352.3,312.3
7,850.0,1519.0,22.6,15.6,65.0,13.23541289398226,200.0,22.0,309.8,350.6,312.3
8,849.5,1524.0,22.6,15.6,65.0,13.24336887742936,200.0,23.0,309.8,350.6,312.3
9,827.0,1758.0,20.2,15.2,73.0,13.259162448639778,215.0,20.0,309.7,350.5,312.2
10,820.1,1829.0,19.7,14.7,73.0,12.9404519000695,220.0,19.0,309.9,349.9,312.4
11,791.4,2134.0,17.6,12.7,73.0,11.75197777268583,250.0,13.0,310.9,347.2,313.1
12,763.8,2438.0,15.6,10.6,72.0,10.579016476752756,260.0,14.0,311.9,344.8,313.9
13,743.0,2675.0,14.0,9.0,72.0,9.756005475944864,283.0,15.0,312.6,343.1,314.4
14,737.0,2743.0,13.7,8.7,72.0,9.636247538357425,290.0,15.0,313.0,343.2,314.8
15,735.0,2766.0,13.6,8.6,72.0,9.596699318813618,290.0,15.0,313.1,343.2,314.9
16,712.0,3034.0,13.0,4.0,54.0,7.186320787625742,295.0,15.0,315.3,338.3,316.7
17,710.8,3048.0,12.9,3.8,54.0,7.096947103956551,295.0,15.0,315.4,338.1,316.7
18,700.0,3177.0,12.0,2.0,50.0,6.335694302913604,295.0,13.0,315.7,336.1,316.9
19,680.0,3419.0,10.4,-0.6,46.0,5.39836076311471,288.0,14.0,316.6,334.1,317.6
20,660.5,3658.0,8.7,-2.3,46.0,4.901549664859618,280.0,15.0,317.3,333.3,318.2
21,613.2,4267.0,4.2,-6.8,45.0,3.7542582493345784,270.0,18.0,318.9,331.5,319.7
22,597.0,4487.0,2.6,-8.4,44.0,3.405519006622739,265.0,17.0,319.5,331.0,320.2
23,568.6,4877.0,0.5,-10.2,45.0,3.1032560741782076,255.0,16.0,321.5,332.1,322.1
24,527.0,5486.0,-2.9,-12.9,46.0,2.696193763276556,245.0,9.0,324.6,333.9,325.1
25,524.0,5531.0,-3.1,-13.1,46.0,2.6679439169409536,244.0,9.0,324.8,334.1,325.3
26,509.0,5760.0,-5.1,-14.1,49.0,2.5312832200838526,241.0,12.0,325.1,333.9,325.6
27,507.0,5791.0,-5.2,-14.4,48.0,2.479407851906264,240.0,12.0,325.4,334.0,325.9
28,500.0,5900.0,-5.5,-15.5,45.0,2.295659170123876,240.0,12.0,326.3,334.4,326.7
29,487.6,6096.0,-6.0,-19.3,34.0,1.7080277014549505,250.0,12.0,328.0,334.2,328.4
30,485.0,6138.0,-6.1,-20.1,32.0,1.6028663083468797,251.0,12.0,328.4,334.2,328.7
31,468.8,6401.0,-8.1,-21.5,33.0,1.4682804000888323,255.0,12.0,329.1,334.4,329.4
32,450.6,6706.0,-10.5,-23.1,35.0,1.3267895983393718,230.0,11.0,329.9,334.7,330.1
33,434.0,6995.0,-12.7,-24.7,36.0,1.1940225879524662,230.0,12.0,330.6,335.0,330.8
34,433.1,7010.0,-12.8,-24.8,36.0,1.1857778089945787,230.0,12.0,330.6,335.0,330.9
