,pres,hght,temp,dwpt,relh,mixr,drct,sknt,thta,thte,thtv
0,1020.0,62.0,5.6,5.0,96.0,5.3642504673540525,0.0,0.0,277.2,292.0,278.1
1,1000.0,215.0,6.0,3.7,85.0,4.9923727819918335,120.0,4.0,279.1,293.1,280.0
2,990.0,297.0,6.2,3.5,83.0,4.9720673232680666,143.0,2.0,280.1,294.1,281.0
3,989.1,305.0,6.1,3.5,83.0,4.976627695314879,145.0,2.0,280.2,294.1,281.0
4,952.8,610.0,3.8,1.6,86.0,4.510297345190121,210.0,4.0,280.8,293.5,281.6
5,938.0,737.0,2.8,0.8,87.0,4.32423641025598,231.0,5.0,281.0,293.3,281.8
6,925.0,850.0,1.8,0.5,91.0,4.290847243752338,250.0,5.0,281.1,293.3,281.9
7,917.7,914.0,1.2,0.6,95.0,4.356795021000737,240.0,4.0,281.2,293.5,281.9
8,912.0,964.0,0.8,0.6,99.0,4.384216922503163,231.0,4.0,281.3,293.7,282.0
9,889.0,1169.0,-0.7,-1.5,94.0,3.8564732181387438,194.0,6.0,281.8,292.8,282.4
10,883.5,1219.0,0.2,-4.0,73.0,3.21990343801191,185.0,6.0,283.2,292.6,283.8
11,879.0,1260.0,1.0,-6.0,60.0,2.780049745395361,187.0,6.0,284.4,292.6,284.9
12,864.0,1398.0,0.8,-9.2,47.0,2.206337366652919,194.0,4.0,285.6,292.3,286.0
13,850.0,1529.0,0.2,-11.8,40.0,1.8239225657687679,200.0,3.0,286.3,291.9,286.7
14,823.0,1787.0,-1.1,-15.1,34.0,1.4395767927979222,209.0,5.0,287.6,292.1,287.9
15,818.7,1829.0,-1.3,-17.4,28.0,1.194303004876246,210.0,5.0,287.9,291.6,288.1
16,807.0,1943.0,-1.7,-23.7,17.0,0.7016819580046951,219.0,6.0,288.6,290.9,288.7
17,787.8,2134.0,-2.6,-30.9,9.0,0.37021461826397206,235.0,8.0,289.6,290.9,289.7
18,777.0,2244.0,-3.1,-35.1,6.0,0.24959035950348635,244.0,11.0,290.2,291.1,290.3
19,767.0,2346.0,-3.5,-28.5,12.0,0.47671862480729804,252.0,14.0,290.9,292.5,291.0
20,763.0,2388.0,-3.7,-12.7,50.0,1.890159066245919,256.0,16.0,291.1,297.0,291.4
21,760.0,2419.0,-3.9,-10.9,58.0,2.193178073889641,258.0,16.0,291.2,297.9,291.6
22,758.1,2438.0,-3.9,-11.3,56.0,2.1294996935548167,260.0,17.0,291.4,297.9,291.8
23,751.0,2513.0,-4.1,-13.1,50.0,1.8591111187383509,261.0,17.0,292.0,297.8,292.3
24,740.0,2629.0,-5.1,-18.1,35.0,1.2455955031646384,263.0,18.0,292.1,296.1,292.4
25,736.0,2671.0,-5.7,-15.7,45.0,1.5320486650747838,264.0,18.0,291.9,296.8,292.2
26,729.3,2743.0,-6.3,-17.0,42.0,1.3869556410534258,265.0,18.0,292.0,296.4,292.3
27,727.0,2768.0,-6.5,-17.5,41.0,1.333967788919313,264.0,19.0,292.1,296.3,292.3
28,713.0,2919.0,-8.1,-16.1,53.0,1.5297846121129752,259.0,23.0,291.9,296.8,292.2
29,710.0,2952.0,-8.3,-17.3,48.0,1.38921807865418,258.0,24.0,292.1,296.5,292.3
30,707.0,2985.0,-8.5,-14.5,62.0,1.761469892541829,257.0,25.0,292.2,297.7,292.5
31,705.0,3007.0,-8.5,-12.8,71.0,2.029651325384909,256.0,26.0,292.4,298.7,292.8
32,703.0,3029.0,-8.3,-9.7,90.0,2.6088822804579466,256.0,26.0,292.9,300.9,293.4
33,701.3,3048.0,-8.2,-9.4,91.0,2.67791142375904,255.0,27.0,293.2,301.4,293.7
34,700.0,3062.0,-8.1,-9.2,92.0,2.7255157333945665,255.0,23.0,293.5,301.8,294.0
35,699.0,3073.0,-8.1,-9.1,93.0,2.75099439281623,255.0,23.0,293.6,302.0,294.1
36,694.0,3129.0,-5.1,-5.1,100.0,3.776386645159155,256.0,25.0,297.5,309.1,298.2
37,688.0,3198.0,-4.1,-4.4,98.0,4.017557967661372,256.0,27.0,299.4,311.7,300.1
