,pres,hght,temp,dwpt,relh,mixr,drct,sknt,thta,thte,thtv
0,1021.0,62.0,10.6,4.6,66.0,5.21018748863795,280.0,8.0,282.1,296.8,283.0
1,1000.0,233.0,8.2,3.2,71.0,4.817988130288317,280.0,12.0,281.4,295.0,282.2
2,991.3,305.0,7.4,2.9,73.0,4.757696279677456,275.0,13.0,281.3,294.7,282.1
3,963.0,542.0,4.8,2.0,82.0,4.59260932894003,279.0,14.0,281.0,293.9,281.7
4,955.0,610.0,4.4,0.4,75.0,4.1250241379903905,280.0,14.0,281.2,293.0,281.9
5,925.0,869.0,2.0,-0.2,85.0,4.0771927967323105,290.0,13.0,281.4,293.0,282.0
6,919.9,914.0,1.6,-0.6,85.0,3.9815147337633983,290.0,13.0,281.4,292.8,282.1
7,903.0,1063.0,0.4,-1.7,86.0,3.7405646687486063,292.0,13.0,281.6,292.4,282.3
8,894.0,1143.0,0.2,-2.5,82.0,3.560487771008863,294.0,12.0,282.2,292.5,282.9
9,885.6,1219.0,-0.4,-2.5,85.0,3.5944544965683445,295.0,12.0,282.4,292.8,283.0
10,869.0,1370.0,-1.5,-2.6,92.0,3.6363132373632023,295.0,12.0,282.8,293.2,283.4
11,850.0,1546.0,-2.9,-4.4,89.0,3.2478604779177407,295.0,12.0,283.1,292.5,283.6
12,838.0,1658.0,-3.7,-5.3,89.0,3.076982956098786,291.0,12.0,283.4,292.4,283.9
13,830.0,1734.0,-3.7,-5.8,85.0,2.9904016901419848,288.0,12.0,284.2,292.9,284.7
14,825.0,1782.0,-3.5,-8.5,68.0,2.44147071383044,287.0,12.0,284.9,292.1,285.3
15,820.1,1829.0,-3.6,-9.6,63.0,2.2527463928750917,285.0,12.0,285.3,292.0,285.7
16,805.0,1976.0,-3.9,-12.9,50.0,1.7624475449213943,290.0,15.0,286.5,291.8,286.8
17,789.0,2134.0,-4.5,-14.0,47.0,1.6440438966753799,295.0,18.0,287.5,292.5,287.8
18,774.0,2285.0,-5.1,-15.1,45.0,1.530937105587765,300.0,19.0,288.4,293.2,288.7
19,759.0,2438.0,-5.1,-17.6,37.0,1.266867240115879,305.0,19.0,290.0,294.0,290.2
20,756.0,2469.0,-5.1,-18.1,35.0,1.219182021798426,307.0,19.0,290.4,294.2,290.6
21,736.0,2679.0,-6.3,-20.3,32.0,1.0372229119746592,317.0,21.0,291.3,294.6,291.5
22,730.0,2743.0,-6.6,-27.1,18.0,0.570200739714178,320.0,21.0,291.6,293.5,291.7
23,725.0,2797.0,-6.9,-32.9,11.0,0.33192138763817614,318.0,21.0,291.9,293.0,291.9
24,718.0,2872.0,-7.3,-36.3,8.0,0.2396558371267956,316.0,22.0,292.2,293.1,292.3
25,700.0,3070.0,-7.3,-45.3,3.0,0.09571935690804165,310.0,24.0,294.4,294.7,294.4
