,pres,hght,temp,dwpt,relh,mixr,drct,sknt,thta,thte,thtv
0,971.0,313.0,22.6,20.1,86.0,15.43679155054928,100.0,7.0,298.2,343.5,301.0
1,964.0,377.0,22.2,19.4,84.0,14.874458433057606,114.0,10.0,298.5,342.1,301.1
2,940.0,600.0,20.8,19.3,91.0,15.166481040712807,163.0,22.0,299.2,343.8,301.9
3,938.9,610.0,20.8,19.2,91.0,15.088053561613147,165.0,23.0,299.2,343.7,302.0
4,925.0,741.0,20.2,18.4,89.0,14.555252496448748,165.0,23.0,300.0,342.9,302.6
5,906.7,914.0,19.8,17.2,85.0,13.750123215167841,175.0,19.0,301.3,342.2,303.8
6,906.0,921.0,19.8,17.2,85.0,13.760981967263929,175.0,19.0,301.3,342.2,303.8
7,875.0,1219.0,17.7,16.1,90.0,13.275980200734395,185.0,17.0,302.1,341.7,304.6
8,851.0,1458.0,16.0,15.2,95.0,12.877484285293196,204.0,18.0,302.8,341.3,305.1
9,850.0,1468.0,15.8,15.0,95.0,12.724733355104693,205.0,18.0,302.7,340.7,305.0
10,845.0,1518.0,15.4,14.2,93.0,12.14431345092326,232.0,23.0,302.8,339.1,305.0
11,844.4,1524.0,15.3,13.7,90.0,11.757643349925592,235.0,24.0,302.8,338.0,304.9
12,841.0,1559.0,15.0,10.8,76.0,9.723549838600142,236.0,24.0,302.8,332.0,304.5
13,840.0,1569.0,15.8,9.8,68.0,9.097064599361687,236.0,24.0,303.7,331.2,305.4
14,835.0,1620.0,20.4,9.4,49.0,8.906247792031902,238.0,24.0,309.1,336.7,310.7
15,830.0,1672.0,21.2,6.2,38.0,7.185004750620046,240.0,24.0,310.4,333.0,311.8
16,821.0,1766.0,21.2,3.2,31.0,5.87836619305655,243.0,25.0,311.4,330.1,312.5
17,815.0,1829.0,20.8,2.8,30.0,5.755138462772436,245.0,25.0,311.6,329.9,312.7
18,786.6,2134.0,18.6,0.6,30.0,5.08886834880005,255.0,13.0,312.5,328.9,313.4
19,776.0,2251.0,17.8,-0.2,30.0,4.866180529788924,255.0,12.0,312.8,328.5,313.7
20,761.0,2418.0,17.6,-2.4,25.0,4.218273257661568,255.0,10.0,314.4,328.1,315.1
21,759.2,2438.0,17.4,-2.5,26.0,4.196936971846184,255.0,10.0,314.4,328.1,315.2
22,732.2,2743.0,14.7,-3.9,27.0,3.9188735683906835,275.0,9.0,314.7,327.6,315.4
23,700.0,3123.0,11.4,-5.6,30.0,3.6036646770332643,270.0,9.0,315.1,327.0,315.8
24,659.0,3623.0,6.6,-7.4,36.0,3.3333933315667763,298.0,10.0,315.1,326.2,315.8
25,656.2,3658.0,6.3,-8.5,34.0,3.072613790168188,300.0,10.0,315.2,325.4,315.8
26,639.0,3875.0,4.6,-15.4,22.0,1.8098036395531933,293.0,13.0,315.7,321.9,316.0
27,608.7,4267.0,1.4,-17.8,22.0,1.5539592050971478,280.0,19.0,316.3,321.7,316.6
28,602.0,4357.0,0.6,-18.4,23.0,1.4932622778553728,277.0,20.0,316.5,321.7,316.8
29,585.7,4572.0,-1.4,-18.8,25.0,1.4834503567439468,270.0,24.0,316.6,321.8,316.9
30,563.3,4877.0,-4.2,-19.3,30.0,1.4779461751859768,270.0,28.0,316.8,322.0,317.1
31,500.0,5810.0,-12.9,-20.9,51.0,1.4504474774238465,250.0,38.0,317.2,322.3,317.5
32,481.5,6096.0,-15.6,-21.7,60.0,1.4046434414231788,250.0,45.0,317.3,322.2,317.6
33,481.0,6104.0,-15.7,-21.7,60.0,1.406106870538832,250.0,45.0,317.3,322.2,317.6
34,477.0,6167.0,-15.9,-22.9,55.0,1.275633144393631,251.0,45.0,317.8,322.3,318.1
35,473.0,6231.0,-15.3,-30.3,27.0,0.6530421433380641,252.0,44.0,319.4,321.8,319.5
36,457.0,6490.0,-17.5,-37.5,16.0,0.33367789281816607,256.0,42.0,319.8,321.0,319.8
37,452.0,6573.0,-16.7,-56.7,2.0,0.03940525238671029,258.0,42.0,321.8,321.9,321.8
38,441.0,6758.0,-17.7,-61.7,1.0,0.021434993944203597,261.0,41.0,322.8,322.9,322.8
39,426.2,7010.0,-19.9,-58.3,2.0,0.03424947923684549,265.0,39.0,323.2,323.3,323.2
40,400.0,7480.0,-23.9,-51.9,6.0,0.07929846960628105,260.0,37.0,323.8,324.2,323.9
41,392.3,7620.0,-24.8,-54.1,5.0,0.06228895109101032,260.0,37.0,324.4,324.7,324.4
42,370.0,8044.0,-27.7,-60.7,3.0,0.029079919188709637,259.0,39.0,326.1,326.2,326.1
43,316.1,9144.0,-37.3,-56.8,11.0,0.05565721220312191,255.0,45.0,327.7,328.0,327.8
44,300.0,9510.0,-40.5,-55.5,18.0,0.06877690064629159,255.0,44.0,328.2,328.5,328.2
45,280.0,9974.0,-44.5,-58.5,19.0,0.0508408931641776,259.0,44.0,328.9,329.2,329.0
46,276.4,10058.0,-45.1,-58.8,20.0,0.049593676281585036,260.0,44.0,329.3,329.5,329.3
47,257.0,10540.0,-48.5,-60.5,24.0,0.042957922453664005,256.0,53.0,331.2,331.4,331.2
48,250.0,10720.0,-49.3,-63.3,18.0,0.030645459147024157,255.0,57.0,332.6,332.8,332.6
49,244.0,10880.0,-50.1,-65.1,15.0,0.02467660487834259,261.0,61.0,333.8,333.9,333.8
