,pres,hght,temp,dwpt,relh,mixr,drct,sknt,thta,thte,thtv
0,975.0,313.0,17.8,11.8,68.0,8.950902676025951,100.0,7.0,293.1,319.0,294.6
1,967.0,384.0,17.4,10.4,63.0,8.214466082422913,108.0,11.0,293.4,317.2,294.8
2,941.9,610.0,17.6,10.6,64.0,8.551173282490216,135.0,25.0,295.8,321.0,297.3
3,925.0,765.0,17.8,10.8,64.0,8.828013971373919,170.0,28.0,297.5,323.6,299.1
4,920.0,811.0,17.8,9.8,59.0,8.29546547087388,172.0,30.0,298.0,322.6,299.5
5,909.1,914.0,18.7,9.9,57.0,8.453509668045168,175.0,34.0,299.9,325.2,301.4
6,905.0,952.0,19.0,10.0,56.0,8.55018808516781,172.0,33.0,300.6,326.2,302.2
7,898.0,1019.0,19.0,13.0,68.0,10.542202432310605,166.0,32.0,301.3,332.7,303.2
8,891.0,1087.0,19.2,11.2,60.0,9.420516704792012,161.0,31.0,302.1,330.5,303.9
9,877.4,1219.0,18.8,10.1,57.0,8.883057463771452,150.0,28.0,303.0,329.8,304.7
10,872.0,1272.0,18.6,9.6,56.0,8.640127260355646,151.0,28.0,303.4,329.6,305.0
11,862.0,1371.0,19.0,1.0,30.0,4.777225290418475,153.0,27.0,304.8,319.7,305.7
12,855.0,1441.0,18.6,0.6,30.0,4.67869659523468,154.0,26.0,305.1,319.8,306.0
13,850.0,1491.0,18.0,7.0,49.0,7.415570268620764,155.0,26.0,305.0,327.7,306.4
14,845.0,1541.0,17.6,8.6,56.0,8.330692822593809,156.0,26.0,305.1,330.5,306.6
15,822.0,1777.0,15.6,5.6,51.0,6.95746613375815,159.0,24.0,305.4,326.8,306.7
16,817.0,1828.0,15.6,1.6,39.0,5.2663368411414275,160.0,24.0,305.9,322.4,306.9
17,816.9,1829.0,15.6,1.6,39.0,5.266986973502599,160.0,24.0,305.9,322.4,306.9
18,794.0,2070.0,14.6,-5.4,25.0,3.2237088886502185,172.0,23.0,307.4,317.7,308.0
19,788.0,2134.0,14.2,-5.3,25.0,3.2732504343590043,175.0,23.0,307.6,318.2,308.2
20,781.0,2209.0,13.8,-5.2,26.0,3.3280083343297933,164.0,21.0,307.9,318.7,308.6
21,772.0,2307.0,14.0,-6.0,24.0,3.167329624533532,149.0,18.0,309.2,319.5,309.8
22,763.0,2406.0,15.4,-8.6,18.0,2.620113329411968,135.0,15.0,311.7,320.4,312.2
23,760.1,2438.0,15.1,-8.6,19.0,2.630152085489401,130.0,14.0,311.8,320.5,312.3
24,741.0,2652.0,13.4,-8.6,21.0,2.698240922986862,144.0,11.0,312.2,321.1,312.7
25,733.0,2743.0,13.1,-11.2,17.0,2.2203814065235417,150.0,10.0,312.8,320.3,313.2
26,706.8,3048.0,12.0,-19.7,9.0,1.1375438695573141,250.0,7.0,314.9,318.9,315.1
27,706.0,3058.0,12.0,-20.0,9.0,1.1097707483486519,252.0,7.0,315.0,318.9,315.2
28,700.0,3129.0,11.6,-20.4,9.0,1.081259720638084,265.0,8.0,315.3,319.1,315.5
29,688.0,3273.0,10.8,-14.2,16.0,1.855442289701215,269.0,10.0,316.0,322.3,316.3
30,674.0,3444.0,9.6,-8.4,27.0,3.014575595689388,274.0,12.0,316.5,326.6,317.1
31,656.8,3658.0,8.0,-12.1,23.0,2.306067647642892,280.0,15.0,317.1,324.9,317.5
32,650.0,3744.0,7.4,-13.6,21.0,2.063170817730974,280.0,16.0,317.3,324.4,317.7
33,632.7,3962.0,5.4,-13.2,25.0,2.1900606906019595,280.0,18.0,317.4,324.9,317.9
34,609.3,4267.0,2.5,-12.6,32.0,2.388056260425019,275.0,17.0,317.6,325.7,318.1
