,pres,hght,temp,dwpt,relh,mixr,drct,sknt,thta,thte,thtv
0,970.0,313.0,24.2,21.1,83.0,16.46241234176322,15.0,6.0,299.9,348.5,302.9
1,966.0,349.0,24.0,19.9,78.0,15.322828275934665,16.0,6.0,300.1,345.4,302.9
2,937.7,610.0,22.5,19.1,81.0,15.011628683614937,20.0,7.0,301.1,345.6,303.8
3,925.0,730.0,21.8,18.7,83.0,14.838023608415359,25.0,5.0,301.6,345.7,304.3
4,921.0,768.0,21.8,18.5,82.0,14.714090507566864,31.0,5.0,302.0,345.8,304.6
5,905.6,914.0,20.5,18.1,86.0,14.59038918978929,55.0,3.0,302.1,345.4,304.7
6,900.0,968.0,20.0,17.9,88.0,14.495419227087908,41.0,4.0,302.1,345.3,304.7
7,874.2,1219.0,18.9,15.6,81.0,12.861448177302805,335.0,11.0,303.5,341.9,305.8
8,850.0,1461.0,17.8,13.3,75.0,11.372848897883081,350.0,18.0,304.8,339.2,306.9
9,825.0,1716.0,16.6,11.6,72.0,10.46453032136068,7.0,16.0,306.1,338.0,308.1
10,814.2,1829.0,15.7,11.3,75.0,10.393683654750706,15.0,15.0,306.3,337.9,308.2
11,802.0,1957.0,14.6,10.9,78.0,10.273364213649806,7.0,18.0,306.5,337.8,308.4
12,785.3,2134.0,13.5,9.2,75.0,9.349815436682313,355.0,21.0,307.1,335.8,308.9
13,757.4,2438.0,11.6,6.3,70.0,7.937703325424868,340.0,22.0,308.3,332.8,309.8
14,740.0,2634.0,10.4,4.4,66.0,7.110245991216763,311.0,25.0,309.0,331.2,310.4
15,734.0,2702.0,11.6,-3.4,35.0,4.059131799566244,301.0,25.0,311.1,324.1,311.8
16,730.4,2743.0,11.7,-6.5,27.0,3.222472790781044,295.0,26.0,311.6,322.2,312.2
17,726.0,2793.0,11.8,-10.2,20.0,2.4278303644245383,291.0,26.0,312.2,320.3,312.7
18,700.0,3097.0,10.4,-21.6,9.0,0.9740043414790045,270.0,27.0,314.0,317.4,314.2
19,696.0,3145.0,10.4,-23.6,7.0,0.8210202575246839,268.0,28.0,314.5,317.4,314.6
20,684.0,3289.0,10.6,-38.4,2.0,0.2033725522243682,263.0,32.0,316.3,317.1,316.3
